institution,degree,year,marks,address,description
Nithya Sahaya Matha English High School,SSLC,2020,93.92%,"Arkula,Mangaluru,Karnataka.","Specialized in Machine Learning and Artificial Intelligence"
Thumbay Pre-University College,Science (PCMB),2022,90.5%,"Thumbay,Bantwala,Karnataka.","Focus on Software Engineering and Data Structures"
Srinivas Institute of Technology,BacheolBachelor of Engineering in AIML,2022-Present,8.66 CGPA,"Valachil , Mangaluru","Intensive 6-month program covering modern web technologies"
