title,description,technologies,live_url,github_url,image,featured
SixSense,"AI-powered IPL score predictor using player vs bowler data",Python | Pandas | Streamlit | Machine Learning,,https://github.com/thanushshetty9353/IPL-live-score-detection.git,ipl.jpg,false
VisionForge,"AI image enhancer and transformer with multiple filters",Python | CV2 | NumPy | Streamlit,,https://github.com/thanushshetty9353/image-processing.git,img_process.jpg,false
EchoMind,"Voice assistant that responds to commands using AI",Python | SpeechRecognition | Streamlit,,https://github.com/thanushshetty9353/jarvis_voice_assistent.git,jarvis.jpg,false
TextTrim,"Summarizes long text into concise summaries using NLP",Python | NLP | Transformers | Streamlit,,https://github.com/thanushshetty9353/textsummerizer.git,text.jpg,false
iCoder,"Bootstrap-powered web dev blog platform",HTML | CSS | JavaScript | Bootstrap,,https://github.com/thanushshetty9353/iCoder.git,web_dev.png,false
BuddyBot,"Simple chat assistant with basic conversation flow",Python | NLP | Flask,,https://github.com/thanushshetty9353/BuddyBot.git,logo.png,false
